X_1,X_2,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15
0,33,2,1,5,6,0.6931471805599453,6,1.0986122886681098,249,1.0986122886681098,72,29,34
0,18,9,0,3,5,0.6931471805599453,6,0.6931471805599453,316,0.6931471805599453,12,29,34
0,36,2,1,1,0,0.0,5,0.6931471805599453,174,0.6931471805599453,103,93,36
0,4,6,5,2,7,0.0,5,0.6931471805599453,249,0.6931471805599453,103,62,34
1,22,7,3,15,10,0.6931471805599453,2,0.6931471805599453,316,0.6931471805599453,34,142,34
0,32,4,1,7,1,1.6094379124341003,6,0.6931471805599453,249,0.6931471805599453,112,14,34
7,25,9,0,9,8,0.6931471805599453,5,0.6931471805599453,316,0.6931471805599453,72,130,34
0,5,3,5,7,1,1.0986122886681098,6,0.6931471805599453,249,0.6931471805599453,103,107,34
1,36,2,1,15,10,0.0,5,0.6931471805599453,249,0.6931471805599453,92,93,34
0,39,6,5,4,2,0.6931471805599453,6,1.0986122886681098,316,1.0986122886681098,103,29,34
0,21,4,1,7,1,0.6931471805599453,6,0.6931471805599453,174,0.0,103,14,43
0,37,0,0,6,4,0.0,5,1.0986122886681098,179,1.0986122886681098,103,142,34
0,36,2,1,1,0,0.0,5,0.6931471805599453,249,0.6931471805599453,92,62,34
0,4,6,5,2,7,0.6931471805599453,2,0.6931471805599453,0,0.6931471805599453,72,14,34
0,45,10,3,3,5,1.0986122886681098,6,0.6931471805599453,174,0.0,103,80,43
0,3,3,5,1,0,0.0,5,1.0986122886681098,128,1.0986122886681098,112,29,34
0,33,2,1,7,1,0.0,5,0.6931471805599453,174,0.0,72,14,48
0,21,4,1,5,6,0.6931471805599453,6,0.6931471805599453,249,0.6931471805599453,72,93,34
0,2,10,3,8,3,1.3862943611198906,5,0.6931471805599453,316,0.6931471805599453,112,14,34
0,36,2,1,1,0,0.0,5,1.0986122886681098,174,0.0,103,93,43
0,4,6,5,6,4,1.0986122886681098,6,1.0986122886681098,249,1.0986122886681098,72,62,34
1,24,0,0,16,12,0.6931471805599453,2,0.6931471805599453,316,0.6931471805599453,87,142,34
0,4,6,5,1,0,0.0,5,0.6931471805599453,174,0.6931471805599453,72,93,34
0,36,2,1,1,0,0.6931471805599453,2,0.6931471805599453,316,0.6931471805599453,18,53,34
1,42,7,3,12,16,1.0986122886681098,2,0.6931471805599453,218,0.0,103,124,48
0,4,6,5,7,1,1.9459101490553132,6,0.6931471805599453,316,0.6931471805599453,72,29,34
0,4,6,5,4,2,0.6931471805599453,6,0.6931471805599453,174,0.6931471805599453,98,142,34
0,37,0,0,3,5,1.0986122886681098,2,0.6931471805599453,303,0.6931471805599453,72,142,34
0,36,2,1,5,6,0.6931471805599453,2,0.6931471805599453,249,0.6931471805599453,92,142,34
7,24,0,0,9,8,0.6931471805599453,5,0.6931471805599453,174,0.0,115,29,0
1,5,3,5,15,10,0.0,5,0.6931471805599453,249,0.6931471805599453,103,119,34
1,14,9,0,13,18,1.6094379124341003,6,0.6931471805599453,316,0.6931471805599453,103,130,34
0,21,4,1,2,7,0.6931471805599453,6,0.6931471805599453,249,0.6931471805599453,92,29,34
0,4,6,5,4,2,0.6931471805599453,6,0.6931471805599453,316,0.6931471805599453,84,62,34
0,36,2,1,4,2,0.0,5,0.6931471805599453,174,0.0,103,29,43
1,37,0,0,11,17,0.6931471805599453,5,0.6931471805599453,174,0.6931471805599453,103,142,34
0,25,9,0,3,5,1.3862943611198906,2,0.6931471805599453,0,0.6931471805599453,97,62,34
0,4,6,5,1,0,3.9318256327243257,2,1.3862943611198906,249,1.3862943611198906,103,80,34
